ENZYME	Cortex_1	Cortex_2	Cortex_3	PDGFRA_4	PDGFRA_5	PDGFRA_6	PDGFRA_7	NTRK_8	NTRK_9	NTRK_10
FYN	-25.0729227319303	-24.4669221979689	-24.5140109148226	-21.1567490530061	-21.9526987117004	-23.1287827974742	-23.1025270678612	-20.649250009598	-19.9191001580855	-23.1023611225345
MAPKAPK2	-6.7686035097801	-6.68051634380135	-6.53970428089738	-6.08860589897475	-5.48021986563611	-5.95391797490595	-5.30242409109574	-5.61939629829738	-5.28456828979841	-5.54019991992005
RPS6KB1	-0.824779996830624	-1.00650841446335	-0.801947674831042	0.59881806262323	0.543316957796903	0.354244824149374	-0.0587656277220491	-0.598757600452678	-0.569895791869558	0.0511147706996945
PRKCB	-16.4100973324591	-16.6741048517523	-16.1949395548861	-14.7497116833581	-14.5084556694761	-13.5753020421577	-14.846492390388	-11.1892757529984	-12.7490404398083	-12.5997926487817
AKT2	-5.12969002739979	-5.31866666898223	-5.02228051139309	-3.38115960082256	-3.6574070805767	-3.54330461851339	-2.88683304758745	-3.517232855222	-3.67248614911358	-3.14471170905961
CSNK1E	0.0410758865402803	0.284940230451152	-0.537048272007525	-1.85787228174638	-1.3790604719587	-1.79256339553067	-1.20527481451714	-2.04922723753845	-2.05386882362838	-1.33573425494237
PIM3	3.03944655776784	1.0883188124527	2.18863408074413	6.10323102986211	4.92680955171932	5.27321523997383	4.43083682689671	5.1617455534015	4.6947625747736	3.20009360628771
PRKCQ	-2.85920395760034	-3.2699289920835	-2.96577051303928	-1.85035029003912	-1.64390926976793	-1.65575762371437	-1.09153332254498	-2.1377734733554	-1.77835683340901	-1.39974467929172
MARK4	-6.77015510553821	-7.14149009977319	-6.76507652391664	-6.20284968609123	-6.01257713062753	-6.37326826588242	-5.43263052211328	-7.23141283732378	-6.24758940914255	-5.56188314896966
CSNK2A1	-81.5984245060351	-78.1190700318234	-80.3067056164083	-85.2213295933959	-83.105101156503	-83.9493750821552	-79.7029875019647	-91.1527586640126	-92.2497104208936	-78.5998424956285
RPS6KA1	-18.3258669631382	-20.3361697594217	-18.914035489089	-7.95238874220723	-10.487795509443	-10.1379259416205	-7.34200900184168	-11.1848362462905	-11.3698657067249	-9.20612227466941
YES1	-8.68792988134057	-9.22964932913461	-8.91651386394941	-7.78385730050147	-8.20229592422257	-7.96384173518801	-8.25135086620896	-8.0211474813054	-7.87979308993613	-8.13076970495178
PIM1	0.297714327071399	-0.185316229580325	-0.2450602904833	2.04735948486524	0.786810364916508	0.674190322496168	-0.238533424897706	0.378524490932982	0.123600849543675	-0.730547344821389
RPS6KA5	-0.778473589312534	-1.14628300119619	-1.34500541394277	1.79592772420328	0.472648883320275	0.445489277217535	-0.0832721369462154	-0.165556133360684	-0.221777187249156	-0.764409876930902
CDK1	4.36193329809565	3.76731275540306	4.94102745713419	7.33577350101449	8.00568830952916	8.36832795863777	7.65026895074417	10.0032391554335	10.5400859725172	7.00648350672239
PRKAA2	-7.09644240388985	-7.08401195831384	-7.14303423813338	-5.3168214565004	-5.56979916550086	-5.10328119454064	-5.26033072418486	-4.67668476725587	-5.49289339928654	-4.4494742900779
PRKAB1	-9.37763313363854	-9.33360590788693	-9.36101678046154	-9.04393185417127	-8.85827270069239	-8.31381854071511	-8.39771053693186	-7.82876715113965	-7.75014320619118	-7.58297217841361
CDK4	-62.8904341827738	-65.6200403660822	-64.8407711481244	-50.4240388936593	-50.8503969491335	-49.4491991789936	-40.639421199508	-61.0936009722457	-55.2274826047694	-42.9300204370797
DCLK1	-5.19475334852865	-5.48857969466373	-5.39068395089773	-5.15826450314522	-5.31350787033394	-4.98686360173822	-5.56854752150984	-5.11200087751059	-5.36432450668071	-5.38955634962592
WNK4	-5.02139300923246	-5.44097052667091	-5.46524919165027	-4.62152525934153	-4.50559833169739	-4.02408241369168	-4.50784291983101	-4.65637064559138	-4.89976025475736	-4.3817776127898
PRKD1	-4.40139827253174	-4.65125898488492	-4.23334108939377	-3.52740458684715	-3.63080611015056	-3.55186990134301	-2.04194183059239	-4.11827586803324	-3.57603727308468	-2.80691204770872
STK38	-8.89563936390005	-9.16462590514442	-8.67756883766413	-7.41164118183952	-7.32624504387349	-7.33037820767476	-7.12852063267987	-6.98558388821252	-6.68843322702004	-6.89348413524826
SIK1	-1.62687279185391	-1.73881237364764	-1.75792852443841	-0.0142132727402731	-0.617904422828826	-0.344908622304819	-0.136139294416789	-0.796574076934585	-0.468369688465568	-0.110473524622881
